6810,79719
287015,101060226
140691,340359
7746,115290
6621,51098
64395,374897
6635,23350
7458,115290
55568,58986
26156,27107
23788,25763
22938,60561
4163,9724
6443,146456
8560,374383
6383,56980
8548,286827
9409,55800
163,164
6142,6730
6367,9557
5349,8879
571,4097
104,9045
25865,83450
6182,9553
27332,57182
57594,147687
10190,84261
55147,474381
84988,164592
6815,55687
7278,171017
55872,136319
359,10158
9053,84078
3836,23560
1141,221477
8220,118924
203562,338692
28998,51253
4668,79064
1948,26052
6804,441376
7189,80019
10015,10016
1741,6894
26156,29997
353143,386675
900,8450
3965,4125
27258,114781
337974,386681
2668,4582
6158,6730
23111,90268
3202,84231
2030,219995
10693,89891
90589,386681
1857,6135
81851,386676
720,340547
8218,83449
23598,375791
7918,730112
8022,84080
2719,338328
84440,93426
392,266971
2067,2072
3802,8677
4005,26012
4928,6396
80727,259294
10971,116987
23503,80817
2332,100128927
1386,9063
2104,8431
1616,51652
1317,5290
6045,11091
11117,158787
187,55706
10817,151056
6293,139562
4728,54539
25917,55757
23521,63875
23057,24149
945,79161
271,337973
3249,51599
10687,23093
8087,79842
7745,84838
5567,11142
23368,23636
55002,140707
2969,54858
3822,93183
11339,54535
8419,10980
479,2358
51099,203562
349075,100528064
3684,92344
4055,440519
222865,286451
9498,399909
9702,79571
363,11277
2629,5874
284257,285668
25839,55036
8192,81554
8399,164832
84807,150483
11215,84699
51142,246100
1543,5511
54535,114932
2257,541466
200634,346689
84124,84307
53616,56138
3861,84080
5445,26001
1182,10008
11059,286676
2207,388588
57171,254773
4000,8688
26259,257364
2572,6610
5567,7078
5428,339229
4188,353137
57348,148534
9129,84619
54764,284346
83460,114882
54819,79837
26330,493753
2705,116173
3010,51333
79603,84522
1041,342371
23130,23180
65258,81543
2622,3866
4975,124220
3609,23212
10682,388588
5987,51053
10573,57616
55049,246100
8991,83852
9135,9702
6426,9360
9516,9698
10856,10902
824,4649
6223,6431
6143,23361
10423,55157
3912,388555
3643,222643
2257,5256
80742,353274
5768,128821
2669,3881
55852,84553
6139,10360
1287,285613
9730,51318
538,11020
6175,57109
535,920
145258,147409
403,5147
11107,22794
3934,29979
23327,54602
10668,56134
2199,94039
29960,115416
29953,55033
79799,574537
3006,440689
9079,55017
57639,220082
6175,10412
51324,80714
8476,84868
9318,23532
54534,65003
26045,245812
7375,140597
9501,79005
26046,255809
10526,374928
54793,337959
4528,64951
3646,448834
51225,90410
4108,9928
817,23534
3006,6156
55584,116150
8148,57563
9218,11215
970,161424
9308,64924
83901,440023
3559,285598
83901,353145
10973,29942
2274,56987
3730,7270
9265,9267
23780,493861
4118,6692
3015,80314
2885,101060321
22806,112399
5620,27332
5591,57326
8655,23394
5350,120939
2993,23358
54879,55540
27245,388569
11318,55055
3886,91694
2775,375519
3190,54874
29946,83878
26586,134285
3192,51318
2928,7518
666,9840
9463,26470
9341,60561
4174,84515
11187,221662
788,54622
7390,9338
5350,84975
6925,29922
340527,388324
57017,144110
815,337979
78987,144404
79699,254187
10987,441521
5411,9775
5990,283237
9463,63898
9410,10907
83896,353132
57559,440295
10897,55800
7545,23583
7411,81628
93,100134938
91746,284756
3093,11074
10767,23404
7746,342945
4223,5890
6197,11140
6358,728489
11043,26240
79666,83851
116225,200845
64778,752014
23136,80205
1176,80331
2275,57496
2738,22907
5871,10570
5611,7476
3609,10412
6209,11224
5080,117286
64170,79005
6203,80742
7317,57128
5411,55660
5966,55702
6038,79937
4281,83648
427,1544
9095,27287
2865,4056
4726,115290
54800,245973
6657,11166
5289,23338
3418,79541
3881,57639
6407,27343
6299,84687
10403,149371
3106,54361
79159,341567
3006,80135
8655,83992
4988,57143
8924,25940
8930,84659
54556,340542
24144,359787
84518,90060
7169,23184
56949,79650
8935,26191
199990,337879
2275,51317
127495,145282
11194,23143
7096,81035
3846,353145
1902,7852
51076,55191
8788,57130
6139,23466
51191,54865
6794,163351
3964,5738
6223,6780
221264,440275
6997,10048
54751,440093
9980,27020
3836,53615
2622,11178
1191,55741
2873,10307
7185,92017
7552,51087
26046,252839
8887,80263
6003,286826
2709,84522
2994,57181
57348,89845
2357,9144
1413,161436
29911,64927
10121,10693
9454,55696
8676,56888
638,100529063
1493,7314
761,2122
115817,386683
9146,56917
4815,23428
9785,29889
2357,116442
7727,55729
3609,6122
59,7356
7791,83719
1411,51142
8992,503497
